project,vuln_id,source,severity,cvssV3,description
APACHE-Hive.cdx,CVE-2025-33042,NVD,HIGH,7.3,"Improper Control of Generation of Code ('Code Injection') vulnerability in Apache Avro Java SDK when generating specific records from untrusted Avro schemas.

This issue affects Apache Avro Java SDK: "
APACHE-Hive.cdx,CVE-2026-24281,NVD,HIGH,7.4,"Hostname verification in Apache ZooKeeper ZKTrustManager falls back to reverse DNS (PTR) when IP SAN validation fails, allowing attackers who control or spoof PTR records to impersonate ZooKeeper serv"
APACHE-Hive.cdx,CVE-2026-24308,NVD,HIGH,7.5,Improper handling of configuration values in ZKConfig in Apache ZooKeeper 3.8.5 and 3.9.4 on all platforms allows an attacker to expose sensitive information stored in client configuration in the clie
Alluxio_Inc_-Alluxio.cdx,CVE-2025-47913,NVD,HIGH,7.5,SSH clients receiving SSH_AGENT_SUCCESS when expecting a typed response will panic and cause early termination of the client process.
Alluxio_Inc_-Alluxio.cdx,CVE-2025-22869,NVD,HIGH,7.5,"SSH servers which implement file transfer protocols are vulnerable to a denial of service attack from clients which complete the key exchange slowly, or not at all, causing pending content to be read "
Alluxio_Inc_-Alluxio.cdx,CVE-2023-3978,NVD,MEDIUM,6.1,"Text nodes not in the HTML namespace are incorrectly literally rendered, causing text which should be escaped to not be. This could lead to an XSS attack."
Alluxio_Inc_-Alluxio.cdx,CVE-2023-44487,NVD,HIGH,7.5,"The HTTP/2 protocol allows a denial of service (server resource consumption) because request cancellation can reset many streams quickly, as exploited in the wild in August through October 2023."
Alluxio_Inc_-Alluxio.cdx,CVE-2020-28852,NVD,HIGH,7.5,"In x/text in Go before v0.3.5, a ""slice bounds out of range"" panic occurs in language.ParseAcceptLanguage while processing a BCP 47 tag. (x/text/language is supposed to be able to parse an HTTP Accept"
Alluxio_Inc_-Alluxio.cdx,CVE-2020-14040,NVD,HIGH,7.5,"The x/text package before 0.3.3 for Go has a vulnerability in encoding/unicode that could lead to the UTF-16 decoder entering an infinite loop, causing the program to crash or run out of memory. An at"
Alluxio_Inc_-Alluxio.cdx,CVE-2021-38561,NVD,HIGH,7.5,"golang.org/x/text/language in golang.org/x/text before 0.3.7 can panic with an out-of-bounds read during BCP 47 language tag parsing. Index calculation is mishandled. If parsing untrusted user input, "
Alluxio_Inc_-Alluxio.cdx,CVE-2022-32149,NVD,HIGH,7.5,An attacker may cause a denial of service by crafting an Accept-Language header which ParseAcceptLanguage will take significant time to parse.
Alluxio_Inc_-Alluxio.cdx,CVE-2022-32149,NVD,HIGH,7.5,An attacker may cause a denial of service by crafting an Accept-Language header which ParseAcceptLanguage will take significant time to parse.
Alluxio_Inc_-Alluxio.cdx,CVE-2021-22570,NVD,MEDIUM,5.5,"Nullptr dereference when a null char is present in a proto symbol. The symbol is parsed incorrectly, leading to an unchecked call into the proto file's name during generation of the resulting error me"
Alluxio_Inc_-Alluxio.cdx,CVE-2015-5237,NVD,HIGH,8.8,protobuf allows remote authenticated attackers to cause a heap-based buffer overflow.
Alluxio_Inc_-Alluxio.cdx,CVE-2024-7254,NVD,HIGH,7.5,Any project that parses untrusted Protocol Buffers data containing an arbitrary number of nested groups / series of SGROUP tags can corrupted by exceeding the stack limit i.e. StackOverflow. Parsing n
Alluxio_Inc_-Alluxio.cdx,CVE-2024-3566,NVD,CRITICAL,9.8,A command inject vulnerability allows an attacker to perform command injection on Windows applications that indirectly depend on the CreateProcess function when the specific conditions are satisfied.
Alluxio_Inc_-Alluxio.cdx,CVE-2023-44981,NVD,CRITICAL,9.1,"Authorization Bypass Through User-Controlled Key vulnerability in Apache ZooKeeper. If SASL Quorum Peer authentication is enabled in ZooKeeper (quorum.auth.enableSasl=true), the authorization is done "
Angular-AngularJS.cdx,CVE-2025-66412,NVD,HIGH,5.4,"Angular is a development platform for building mobile and desktop web applications using TypeScript/JavaScript and other languages. Prior to 21.0.2, 20.3.15, and 19.2.17, A Stored Cross-Site Scripting"
Angular-AngularJS.cdx,CVE-2026-27970,NVD,HIGH,6.1,"Angular is a development platform for building mobile and desktop web applications using TypeScript/JavaScript and other languages. Versions prior to 21.2.0, 21.1.16, 20.3.17, and 19.2.19 have a cross"
